Address,Area,Frontage,Access Road,House direction,Balcony direction,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price
"đường Tây Mỗ, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",33,4,4,,Đông,5,3,4,Have certificate,Basic,3.85
"Dự án Sonasea Vân Đồn Harbor City, Xã Hạ Long, Vân Đồn, Quảng Ninh",160,10,24,Đông - Nam,Đông - Nam,3,3,3,,Basic,8.3
"Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",82,,,,,2,3,2,,,8.5
"Đường Lê Hồng Phong, Phường Phước Hải, Nha Trang, Khánh Hòa",92,6,4,Bắc,,1,2,1,Have certificate,,3.3
"Dự án Sonasea Vân Đồn Harbor City, Xã Hạ Long, Vân Đồn, Quảng Ninh",160,10,10,Tây - Bắc,Đông - Nam,3,3,3,Sale contract,,7.3
"Đường Nguyễn Văn Tiên, Phường Tân Phong, Biên Hòa, Đồng Nai",125,5,12,,,,2,1,Sale contract,Basic,1.65
"Đường Tân Cảng, Phường 25, Bình Thạnh, Hồ Chí Minh",60,6,6,,,3,4,3,Have certificate,,9.5
"Đường Đại Mỗ, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội",40,5,3,,,5,3,3,Have certificate,Full,6.5
"Dự án Galaxy 9, Đường Nguyễn Khoái, Phường 2, Quận 4, Hồ Chí Minh",40,,,,,,,,,,4.5
"Đường Quang Tiến, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",34,3.5,3,,,5,3,4,Have certificate,Basic,5.4
"Đường 422B, Xã Đức Giang, Hoài Đức, Hà Nội",44,5,2.5,,,4,3,3,Have certificate,Basic,3.29
"Dự án Sonasea Vân Đồn Harbor City, Xã Hạ Long, Vân Đồn, Quảng Ninh",160,10,20,Tây - Bắc,Đông - Nam,3,3,3,Sale contract,,7.3
"Đường Ngọc Trục, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",32,3.5,3,,,5,3,4,Have certificate,Basic,4.6
"Đường Vĩnh Phúc, Phường Cống Vị, Ba Đình, Hà Nội",39,5,5.5,,,7,3,6,Have certificate,Full,9.5
"Đường Phú Đô, Phường Phú Đô, Nam Từ Liêm, Hà Nội",33,4,3,,,5,3,4,Have certificate,Basic,4.8
"Dự án Sonasea Vân Đồn Harbor City, Xã Hạ Long, Vân Đồn, Quảng Ninh",160,10,24,Tây - Bắc,Đông - Nam,3,3,3,Sale contract,,7.8
"Đường Phúc Đồng, Phường Phúc Đồng, Long Biên, Hà Nội",50,4,6,,,4,5,3,Have certificate,Full,7.5
"Đường Lê Ninh, Phường  An Hải Bắc, Sơn Trà, Đà Nẵng",88,4.5,6,,,4,3,4,Have certificate,Full,9.2
"Phố Cự Lộc, Phường Nhân Chính, Thanh Xuân, Hà Nội",38,,,,,4,4,3,Have certificate,Full,6
"Dự án The Oasis, Phường An Phú, Thuận An, Bình Dương",114,7,20,Tây,,2,3,3,,Full,6.5
"Đường Chu Văn An, Phường 12, Bình Thạnh, Hồ Chí Minh",55,,,,,3,3,2,Have certificate,,6.5
"Đường Miêu Nha, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",31,4.15,2.5,Tây,Tây,5,4,5,Have certificate,Basic,3.85
"Ngõ 376, Đường Bưởi, Phường Cống Vị, Ba Đình, Hà Nội",39,4.25,6,,,6,4,6,Sale contract,Basic,9.5
"Đường Cô Giang, Phường 1, Phú Nhuận, Hồ Chí Minh",61,3.2,6,Đông - Nam,Đông - Nam,2,2,2,Have certificate,,7.2
"Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng",60,,3.75,,,4,4,5,Have certificate,Full,6.8
"Ngõ 169, Đường Hoàng Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",33,4,3,Đông - Nam,,5,3,4,Have certificate,Full,5.19
"Dự án Uni-town, Phường Hòa Phú, Thủ Dầu Một, Bình Dương",95,5,30,Đông - Bắc,Đông - Bắc,3,3,4,Sale contract,,5.5
"Số 84, Đường Hải Thượng Lãn Ông, Phường Mỹ Đông, Phan Rang - Tháp Chàm, Ninh Thuận",103.6,5,27,Đông,,,2,1,Have certificate,,3.5
"Xã Phụng Châu, Chương Mỹ, Hà Nội",35,,3.5,,,3,3,3,,,1.8
"Dự án VSIP 1, Đường D1, Phường Bình Hòa, Thuận An, Bình Dương",100,,20,Bắc,,2,2,2,Have certificate,,6.4
"89/ Đường Trịnh Đình Trọng, Phường Phú Trung, Tân Phú, Hồ Chí Minh",64,,7,Tây - Bắc,,3,4,3,Have certificate,Basic,8.2
"Dự án Sonasea Vân Đồn Harbor City, Xã Hạ Long, Vân Đồn, Quảng Ninh",160,10,24,Tây - Bắc,Đông - Nam,3,3,3,Sale contract,,7
"Đường Lạc Long Quân, Phường Bưởi, Tây Hồ, Hà Nội",42,,,,,5,6,,Have certificate,,6.8
"Dự án The Oasis, Phường An Phú, Thuận An, Bình Dương",150,5,20,Bắc,,3,4,3,Have certificate,Full,6.1
"Đường C18, Phường 12, Tân Bình, Hồ Chí Minh",80,,6,,,5,6,7,Have certificate,Basic,9.5
"Đường Hoàng Liên, Phường Liên Mạc, Bắc Từ Liêm, Hà Nội",33,3.8,3,,,5,3,4,Have certificate,Basic,3
"Đường Bàu Năng 8, Phường Hòa Minh, Liên Chiểu, Đà Nẵng",85,,,,,,,,,,6.5
"Đường Nguyễn Thị Kiểu, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",100,4,,,,3,3,4,Have certificate,Full,5.6
"Phường 4, Quận 4, Hồ Chí Minh",29,3.6,4,,,3,2,3,,,4.95
"Dự án The Oasis, Phường An Phú, Thuận An, Bình Dương",180,10,20,Đông,Bắc,3,4,4,Have certificate,Full,9.5
"Đường Liên khu 10-11, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh",176,8,,Nam,,,2,2,Have certificate,Basic,10
"Đường Lê Lai, Phường 4, Gò Vấp, Hồ Chí Minh",56,6,6,,,4,4,5,Have certificate,Full,8.2
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",75,,20,,,5,,,Have certificate,,9.8
"Đường Lạc Long Quân, Phường Phước Tân, Nha Trang, Khánh Hòa",38.7,,2.5,Đông - Nam,,3,3,,Have certificate,,3.2
"Đường Trần Quang Khải, Phường 8, Đà Lạt, Lâm Đồng.",144,9,2.4,Đông - Bắc,,2,3,2,Have certificate,Full,7.5
"Đường Võ Văn Kiệt, Phường Cầu Kho, Quận 1, Hồ Chí Minh",34.4,,,,,3,,,Have certificate,,5.7
"Ngõ 280, Đường Lạc Long Quân, Phường Thụy Khuê, Tây Hồ, Hà Nội",32,,,,,4,,,Have certificate,,5
"Đường Số 32, Phường Linh Đông, Thủ Đức, Hồ Chí Minh",52,4.2,5,,,2,2,2,Have certificate,,4.8
"Đường Bùi Hữu Nghĩa, Phường Hóa An, Biên Hòa, Đồng Nai",66,5.4,6,Nam,Tây,1,2,1,Have certificate,Basic,1.7
"Đường Lê Văn Hiến, Phường Đức Thắng, Bắc Từ Liêm, Hà Nội",50,7,,,,,,,Have certificate,,7.65
"Đường Nguyễn Giản Thanh, Phường 15, Quận 10, Hồ Chí Minh",64,,,,,2,,,Have certificate,,10
"40/10, Đường Tân Thới Nhất 21, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",80,5,15,Đông - Nam,Đông - Bắc,3,4,3,Have certificate,Basic,8.8
"Đường Nam Yên Lũng, Xã An Khánh, Hoài Đức, Hà Nội",88,,,,,3,5,3,Have certificate,,10
"154, Đường Âu Dương Lân, Phường 3, Quận 8, Hồ Chí Minh",44,4,4,,,4,3,4,Have certificate,Full,6.1
"Đường Quang Tiến, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",33.5,,,,,5,,,,,5.65
"Đường Phạm Hùng, Phường 4, Quận 8, Hồ Chí Minh",60,4,6,,,5,4,5,Have certificate,Full,9.9
"Đường Tựu Liệt, Xã Tam Hiệp, Thanh Trì, Hà Nội",40,3.5,2,Đông - Bắc,Đông - Bắc,5,3,2,,,3.19
"Xã An Khánh, Hoài Đức, Hà Nội",51.2,4.22,,,,3,,,,,4.4
"Phố Cầu Cốc, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",35,,,,,5,,,Have certificate,,5.5
"Xã An Khánh, Hoài Đức, Hà Nội",35,4,3.2,,,5,,,,,3.9
"Đường Liên Xã, Xã Phụng Châu, Chương Mỹ, Hà Nội",35,,,,,3,3,3,Have certificate,Basic,1.93
"Xã Phụng Châu, Chương Mỹ, Hà Nội",52,,,,,3,3,3,Have certificate,Full,2.7
"Xã La Phù, Hoài Đức, Hà Nội",36,,3,,,5,,,,,3.65
"Đường Nguyễn Oanh, Phường 17, Gò Vấp, Hồ Chí Minh",88,,12,,,,,,,,6.9
"Đường 12, Phường Phước Bình, Quận 9, Hồ Chí Minh",88,4,12,Bắc,Bắc,3,4,4,Have certificate,Full,9
"Đường An Thượng 39, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng",60,5,5.5,Tây,Tây,4,6,7,Have certificate,Full,9.9
"Đường Tựu Liệt, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",30,5.6,2,Đông,Tây - Nam,4,4,3,Have certificate,Full,4.2
"Đường Ỷ La, Phường Dương Nội, Hà Đông, Hà Nội",32,,,,,5,4,4,,,3.25
"Đường Cây Trâm, Phường 8, Gò Vấp, Hồ Chí Minh",56,,5,,,2,2,3,Have certificate,,5.3
"Phường Bình Trị Đông B, Bình Tân, Hồ Chí Minh",65,,16,Đông,,4,5,5,Have certificate,,7.5
"Xã Đại Thành, Quốc Oai, Hà Nội",45,,4.5,,,3,3,3,,Full,2.75
"Phường Mường Thanh, Thành phố Điện Biên Phủ, Điện Biên",60,6,20,Đông - Nam,Tây - Bắc,4,4,3,Have certificate,Basic,1.56
"Phường An Lạc A, Bình Tân, Hồ Chí Minh",100,4,25,Tây,,1,2,1,Have certificate,,7.2
"Đường Tam Đông 12, Xã Thới Tam Thôn, Hóc Môn, Hồ Chí Minh",74,5,5,,,2,2,3,Have certificate,Full,3.5
"Đường Ngô Chí Quốc, Phường Bình Chiểu, Thủ Đức, Hồ Chí Minh",52,,,,,,1,1,,,1.3
"Đường Minh Khai, Phường Thanh Lương, Hai Bà Trưng, Hà Nội",23,3.3,,,,4,2,3,Have certificate,Full,3.55
"Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",80,5,,,,4,4,5,Have certificate,Full,7
"Đường Miếu Gò Xoài, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh",80,4,16,Bắc,Bắc,5,6,7,Have certificate,Full,8.8
"Phường An Lạc A, Bình Tân, Hồ Chí Minh",92,4,23,Tây,,3,5,6,Have certificate,,9.3
"Phố Trần Cung, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",58,,3,,,5,9,9,Have certificate,Full,6.9
"Dự án Sunset Villas & Resort, Đường Quốc lộ 6, Xã Tân Vinh, Lương Sơn, Hòa Bình",300,,,,,,4,,Have certificate,,5.3
"Phố Phạm Đình Hổ, Phường Hòa Minh, Liên Chiểu, Đà Nẵng",140,7,7.5,Đông - Nam,,3,5,4,,,7.5
"Đường Gò Dầu, Phường Tân Quý, Tân Phú, Hồ Chí Minh",78,4,,,,3,6,,,,9.2
"Hẻm 92, Đường Xô Viết Nghệ Tĩnh, Phường 21, Bình Thạnh, Hồ Chí Minh",34,4,4,Tây - Nam,Tây - Nam,3,4,3,Have certificate,Full,5.09
"Ngõ 261, Phố Trần Nguyên Hãn, Phường Nghĩa Xá, Lê Chân, Hải Phòng",95,4.91,,Đông - Nam,,,4,3,Have certificate,,5.85
"Hẻm 357, Đường Lê Quang Định, Phường 5, Bình Thạnh, Hồ Chí Minh",31,,5,Đông - Bắc,Đông - Bắc,3,3,3,Have certificate,Full,5.75
"Dự án Khu đô thị Xuân Hưng, Đường CSEDP, Phường Quảng Thắng, Thanh Hóa, Thanh Hóa.",60,5,5,Tây - Bắc,Đông - Bắc,4,3,3,Have certificate,,3
"Đường Lê Văn Quới, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh",56,4,8,Tây,Tây,,,,Have certificate,Full,7.2
"Hẻm 57, Đường Điện Biên Phủ, Phường 15, Bình Thạnh, Hồ Chí Minh",42.1,6,,Đông - Nam,Đông - Nam,3,5,3,Have certificate,Full,6.7
"Đường Nguyễn Văn Cự, Phường Tân Tạo A, Bình Tân, Hồ Chí Minh",71,5,5,Nam,Nam,4,4,5,Have certificate,,4.9
"138, Phố Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh",60,8,10,Đông,Đông,3,4,4,Have certificate,Basic,9.9
"Đường Phương Lưu, Phường Vạn Mỹ, Ngô Quyền, Hải Phòng",40.2,,,,,,,,,,2.65
"Phố Doãn Kế Thiện, Phường Mai Dịch, Cầu Giấy, Hà Nội",45,4,3,,,5,4,5,Have certificate,Full,8.95
"Đường Chánh Hưng, Phường 9, Quận 8, Hồ Chí Minh",51,,,,,1,3,2,Have certificate,Basic,5.5
"Phường An Lạc A, Bình Tân, Hồ Chí Minh",52,4.6,11.2,Bắc,,4,4,3,Have certificate,,6.2
"Đường Khánh Hội, Phường 3, Quận 4, Hồ Chí Minh",50,4,3,,,4,6,6,Have certificate,,6.2
"Đường Tôn Thất Thuyết, Phường 15, Quận 4, Hồ Chí Minh",50,4.5,3,Đông,Đông,4,3,3,Have certificate,Basic,6.15
"Đường Tôn Đản, Phường 8, Quận 4, Hồ Chí Minh",32.1,5,4,Tây - Nam,Tây - Nam,4,2,3,Have certificate,Basic,3.95
"Phường  Đằng Hải, Hải An, Hải Phòng",45,11,3,Nam,,3,3,3,,,2.5
"Đường Lê Thị Trung, Phường Thuận Giao, Thuận An, Bình Dương",65,,13,,,3,3,3,Have certificate,,2.85
"Đường Tả Thanh Oai, Xã Tả Thanh Oai, Thanh Trì, Hà Nội",36,,,,,4,4,5,Have certificate,Full,2.85
"Đường Kinh Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh",95,4,5,Đông - Bắc,,3,4,3,Have certificate,,5.95
"Đường Ngũ Nhạc, Phường Thanh Trì, Hoàng Mai, Hà Nội",30,4,,,,4,3,,Have certificate,Full,4.15
"Ngõ 18, Đường Tả Thanh Oai, Xã Tả Thanh Oai, Thanh Trì, Hà Nội",36,,,,,4,4,5,Have certificate,Full,2.95
"Dự án Khu đô thị mới Đại Thanh, Huyện Thanh Trì, Hà Nội",36,,,,,4,4,5,Have certificate,Full,2.85
"Đường Thượng Phúc, Xã Tả Thanh Oai, Thanh Trì, Hà Nội",34,,,,,4,3,4,Have certificate,Full,2.9
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",52,4,13,Tây - Nam,Tây - Nam,5,8,5,Sale contract,,6.3
"Đường Lạc Long Quân, Phường 11, Tân Bình, Hồ Chí Minh",70,4.5,4,,,2,4,2,Have certificate,Basic,6.25
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",60,4,13,Tây - Bắc,Tây - Nam,5,8,4,,,6.4
"Dự án Central Riverside Thanh Hóa, Phường Đông Hải, Thanh Hóa, Thanh Hóa.",80,,,,,5,,,,,5.16
"Dự án Nam Cầu Tuyên Sơn-Nam Việt Á, Đường Mỹ Đa Tây 5, Phường  Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",125,5,7.5,Tây - Nam,,4,4,5,Have certificate,Full,6.85
"Đường Phan Bá Phiến, Phường Mân Thái, Sơn Trà, Đà Nẵng",63,6,7.5,,,1,1,1,Have certificate,Full,4.5
"Ngõ 55, Đường Thượng Phúc, Xã Tả Thanh Oai, Thanh Trì, Hà Nội",45,,,,,4,5,5,Have certificate,Full,2.9
"Đường Phan Huy Ích, Phường 15, Tân Bình, Hồ Chí Minh",39,5.2,,,,,,,,,4.3
"Dự án KĐT Phù Khê, Đường Nguyễn Văn Cừ, Xã Phù Khê, Từ Sơn, Bắc Ninh",100,5,25,Bắc,Bắc,,,,Have certificate,,8.7
"Đường Cầu Diễn, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",45,,,,,5,,,Have certificate,Full,8
"Thôn Văn, Đường Phan Trọng Tuệ, Xã Thanh Liệt, Thanh Trì, Hà Nội",30,,,,,6,6,5,Have certificate,Full,4.2
"Đường Bằng A, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",40,,,,,5,6,5,Have certificate,Full,4.65
"Dự án Thăng Long Central City, Đường Hương Lộ 610, Thị trấn Lai Uyên, Bàu Bàng, Bình Dương",100,,,,,3,3,3,Have certificate,,1.95
"Đường Tây Mỗ, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",38,4.5,20,,,4,4,4,Have certificate,Basic,4.35
"Đường Nguyễn Ái Quốc, Phường Tân Hiệp, Biên Hòa, Đồng Nai",60,5,,,,4,3,3,Have certificate,,3.98
"Đường Lạc Long Quân, Phường 3, Quận 11, Hồ Chí Minh",40,,7,,,6,6,5,Have certificate,Full,7.8
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",90,,13,Đông - Bắc,,5,,,,,8.9
"Phố Giảng Võ, Phường Giảng Võ, Ba Đình, Hà Nội",35,5,,,,5,5,4,Have certificate,Full,10
"Phường An Bình, Biên Hòa, Đồng Nai",90,5,,,,1,5,,Have certificate,,1.9
"Đường Xô Viết Nghệ Tĩnh, Phường 21, Bình Thạnh, Hồ Chí Minh",52,6,6,Bắc,Bắc,2,4,4,Have certificate,Basic,7.2
"Ngõ Lý Tiêm, Đường Hàng Kênh, Phường Hàng Kênh, Lê Chân, Hải Phòng",50,,3,Đông - Nam,,4,4,3,,,3.19
"Phường An Bình, Biên Hòa, Đồng Nai",115,,,,,,2,,,,3.9
"Đường Tựu Liệt, Xã Tam Hiệp, Thanh Trì, Hà Nội",40,3.5,2,Đông,Nam,4,4,2,Have certificate,Full,3.19
"Đường Nhơn Hòa 4, Phường Hòa An, Cẩm Lệ, Đà Nẵng",90,5,5.5,,,1,5,5,Have certificate,Full,3.2
"Đường Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Hồ Chí Minh",160,6,6,,,1,5,5,Have certificate,Full,9.8
"Đường 70, Xã Tam Hiệp, Thanh Trì, Hà Nội",33,3.42,3,Đông,Nam,5,5,4,Have certificate,Full,4.5
"Dự án Rosita Garden Khang Điền, Đường 990, Phường Phú Hữu, Quận 9, Hồ Chí Minh",132,6,20,Tây - Nam,Tây - Nam,3,3,3,Have certificate,,7.2
"Đường Đền Lừ, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",55,,20,,,5,6,6,Have certificate,Full,9.8
"Đường Yên Hòa, Phường Yên Hòa, Cầu Giấy, Hà Nội",50,4.5,,,,4,4,,Have certificate,Full,7.3
"Hạ Đình, Thanh Xuân, Hà Nội",22,3.6,,,,4,3,3,Have certificate,Full,3
"Xã Tam Hiệp, Thanh Trì, Hà Nội",40,3.3,5,Tây,Đông,5,4,4,Have certificate,Full,5.9
"Đường Đồng Khởi, Phường Trảng Dài, Biên Hòa, Đồng Nai",96,4.8,20,,,2,3,2,Have certificate,Full,2.4
"Phường An Bình, Biên Hòa, Đồng Nai",120,5,,,,,3,,,,3.4
"Đường Nguyễn Văn Quỳ, Phường Phú Thuận, Quận 7, Hồ Chí Minh",80,4,6,,,4,5,5,Have certificate,Full,8.4
"Đường Bằng Liệt, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",38,4.4,,,,4,3,4,Have certificate,Full,4.75
"Đường Huỳnh Văn Nghệ, Phường Bửu Long, Biên Hòa, Đồng Nai",72,8,8,,,2,3,2,Have certificate,Full,1.75
"Đường Nguyễn Khang, Phường Yên Hòa, Cầu Giấy, Hà Nội",48,4,,,,5,,,Have certificate,Full,8.5
"Đường Lê Lợi, Phường Nguyễn Trãi, Hà Đông, Hà Nội",30,,,,,5,3,4,Have certificate,Full,6.9
"Đường Bằng A, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",38,,,Bắc,,2,4,3,Have certificate,Full,2.5
"Đường Mễ Trì, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",31,10,,,,5,4,3,Have certificate,Full,7.95
"Đường Bằng Liệt, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",40,,,,,4,5,5,Have certificate,Full,5.3
"Đường Tựu Liệt, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",33,3.5,2,Đông - Nam,Tây,4,3,3,Have certificate,Full,3.55
"Dự án Sapphire Gem Hải Phòng, Đường 359C, Xã  Thủy Đường, Thủy Nguyên, Hải Phòng",110,5,15,Nam,Nam,3,4,5,Sale contract,,5.5
"Đường NF4, Phường Chánh Phú Hòa, Bến Cát, Bình Dương",300,,,,,4,5,5,Have certificate,,6.5
"Đường Bằng Liệt, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",44,,,Bắc,,2,4,3,Have certificate,Full,2.5
"Đường Phạm Văn Hai, Phường 3, Tân Bình, Hồ Chí Minh",39.4,,,,,4,4,4,Have certificate,Full,7.2
"Đường Nguyên Hồng, Phường Kim Mã, Ba Đình, Hà Nội",50,,,,,6,7,5,Have certificate,,10
"Đường Bằng A, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",35,,,,,4,6,4,Have certificate,Full,5.5
"Đường Tựu Liệt, Xã Tam Hiệp, Thanh Trì, Hà Nội",40,3.5,2,Đông,Đông,3,4,3,Have certificate,Full,2.95
"Đường Đồng Nai, Phường Phước Hải, Nha Trang, Khánh Hòa",92,4,10,Đông - Bắc,,6,5,7,Have certificate,,8.5
"Dự án Sapphire Gem Hải Phòng, Xã  Thủy Đường, Thủy Nguyên, Hải Phòng",110,5,15,Nam,Nam,3,4,5,Sale contract,,5.55
"Đường Cát Dài, Phường Cát Dài, Lê Chân, Hải Phòng",60,,,Tây,Tây,4,4,4,Have certificate,Basic,4.69
"Phường An Bình, Biên Hòa, Đồng Nai",98,,,,,2,3,2,Have certificate,,2.55
"Dự án La Vida Residences, Đường 3/2, Phường 12, Vũng Tàu, Bà Rịa Vũng Tàu",77.5,,,,,4,4,5,,,4.57
"Đường Hồ Văn Cống, Phường Tương Bình Hiệp, Thủ Dầu Một, Bình Dương",120,,,Đông - Nam,,2,3,3,Have certificate,Basic,2.5
"Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",39,,,Đông - Nam,,3,,,,,3.6
"Đường Lê Đức Thọ, Phường 15, Gò Vấp, Hồ Chí Minh",77,,12,,,4,4,5,Have certificate,Full,9
"Đường Tỉnh Lộ 422B, Xã Vân Canh, Hoài Đức, Hà Nội",30,5,4,Nam,Nam,5,3,4,Have certificate,Full,4.1
"Đường Xô Viết Nghệ Tĩnh, Phường 25, Bình Thạnh, Hồ Chí Minh",66,,,,,2,,,Have certificate,Full,9.2
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",62.5,,,Đông - Nam,,5,5,,,,6.9
"Phường Phú Lương, Hà Đông, Hà Nội",45,3.42,2,Đông - Nam,Đông - Nam,5,6,4,Have certificate,Basic,4.5
"Đường Nguyễn Ảnh Thủ, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",59,,5,Tây - Bắc,Tây - Bắc,2,,,,,3.69
"Đường Cư xá Phú Thọ Hòa, Phường 5, Quận 11, Hồ Chí Minh",64,4,,,,,,,Have certificate,,7.5
"Đường Âu Dương Lân, Phường 3, Quận 8, Hồ Chí Minh",43,4,4,,Tây,4,3,4,Have certificate,Basic,6.4
"Đường Tân Chánh Hiệp, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",64,,,,,1,2,1,Have certificate,,3.2
"Hẻm 2155, Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh",30,,,,,2,2,2,Have certificate,,2.39
"194, Phố Thanh Đàm, Phường Thanh Trì, Hoàng Mai, Hà Nội",26,,,,,4,3,3,Have certificate,Basic,3.95
"Ngõ 189, Đường Hoàng Hoa Thám, Phường Liễu Giai, Ba Đình, Hà Nội",86,5.5,3,,,3,6,3,Have certificate,Full,9.5
"Đường Số 27, Phường 6, Gò Vấp, Hồ Chí Minh",20,5,3,Đông - Bắc,Đông - Bắc,1,1,2,Have certificate,Full,2.05
"Đường Nguyễn Văn Lượng, Phường 17, Gò Vấp, Hồ Chí Minh",35.7,5.1,5,,,3,2,2,Have certificate,Full,4.15
"Đường Bùi Thiện Ngộ, Phường Hòa Xuân, Cẩm Lệ, Đà Nẵng",100,5,7.5,Đông - Bắc,Đông - Bắc,3,4,4,Have certificate,Full,6.2
"Phường Tân Hiệp, Biên Hòa, Đồng Nai",100,,,,,,2,1,Have certificate,,3.1
"Đường Kim Giang, Xã Thanh Liệt, Thanh Trì, Hà Nội",55,6,,Đông,,5,3,4,Have certificate,Full,6.9
"K285/28A Lê Duẩn, Phường Tân Chính, Thanh Khê, Đà Nẵng",40,,2,Bắc,,3,2,2,,,2.83
"Ngõ 151, Đường Nguyễn Đức Cảnh, Phường Định Công, Hoàng Mai, Hà Nội",33,,,,,4,,,,,4.1
"Đường Thạnh Lộc 37, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",60,5,5,Tây - Nam,Tây - Nam,2,2,2,Have certificate,Full,3.85
"Đường Lê Độ, Phường Chính Gián, Thanh Khê, Đà Nẵng",43,,,,,4,2,,,,3.33
"Ngõ 68/79, Đường Nguyễn Văn Linh, Phường Thạch Bàn, Long Biên, Hà Nội",40,4.79,,,,5,5,,,,5.2
"Đường Nguyễn Văn Tạo, Xã Long Thới, Nhà Bè, Hồ Chí Minh",85,,12,,,2,3,3,Have certificate,,4.7
"Đường Hàn Mặc Tử, Phường Trà Bá, Plei Ku, Gia Lai",80,4.5,,Tây - Bắc,Tây - Bắc,2,3,3,Have certificate,Full,2.35
"Dự án Centa Riverside, Đường Hữu Nghị, Phường Phù Chẩn, Từ Sơn, Bắc Ninh",180,9,15,Nam,Nam,3,4,5,Have certificate,,9.84
"Đường Trương Định, Phường Trương Định, Hai Bà Trưng, Hà Nội",57,,,,,,3,3,Have certificate,Full,6.1
"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",42,6,10,,,3,3,,Have certificate,Full,7.5
"Dự án Mega Ruby, Phường Phú Hữu, Quận 9, Hồ Chí Minh",86,5.5,20,Nam,Nam,3,4,4,Have certificate,,9.49
"Dự án Mega Ruby, Phường Phú Hữu, Quận 9, Hồ Chí Minh",82.6,5,20,Tây,Tây,3,4,3,Have certificate,Full,9.3
"Đường Quốc lộ 1K, Phường Linh Xuân, Thủ Đức, Hồ Chí Minh",56.5,5,4,,,3,3,3,Have certificate,Full,5.35
"Đường Đồng Khởi, Phường Tân Phong, Biên Hòa, Đồng Nai",100,10,6,,,2,3,2,Have certificate,Full,2
"Đường Thịnh Quang, Phường Thịnh Quang, Đống Đa, Hà Nội",38,3.8,2.5,,,5,6,4,Have certificate,Full,6.9
"Dự án Mỹ Phước 3, Đường NI9, Phường Thới Hòa, Bến Cát, Bình Dương",150,5,8,,,2,3,2,Have certificate,,2.18
"Đường Trần Hoành, Phường  Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",107,5,5,Đông,,1,1,1,Have certificate,,3.3
"Dự án Khu đô thị Xuân Hưng, Đường CSEDP, Phường Quảng Thắng, Thanh Hóa, Thanh Hóa.",60,5,7.5,Tây - Bắc,Tây - Bắc,,,,Have certificate,Basic,3.1
"Đường Trần Bá Giao, Phường 5, Gò Vấp, Hồ Chí Minh",60,4,8,Đông - Bắc,,2,3,2,Have certificate,,7.8
